            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464610.500000000, A.D. 2035-Oct-10 00:00:00.0000,  1.386568561933358E+00,  1.809009037202209E-01, -3.018243740940603E-02, -1.276942779357198E-03,  1.507262260531798E-02,  3.472476516746705E-04,
2464611.500000000, A.D. 2035-Oct-11 00:00:00.0000,  1.385216696904489E+00,  1.959634813564114E-01, -2.983356457015224E-02, -1.426726377783507E-03,  1.505226628694267E-02,  3.504909444456536E-04,
2464612.500000000, A.D. 2035-Oct-12 00:00:00.0000,  1.383715234143865E+00,  2.110049049013794E-01, -2.948146971737614E-02, -1.576135037641367E-03,  1.503031569868500E-02,  3.536916187557826E-04,
2464613.500000000, A.D. 2035-Oct-13 00:00:00.0000,  1.382064558123395E+00,  2.260235838986395E-01, -2.912619562607889E-02, -1.725149737505600E-03,  1.500677852985622E-02,  3.568493717688458E-04,
2464614.500000000, A.D. 2035-Oct-14 00:00:00.0000,  1.380265072250269E+00,  2.410179357239200E-01, -2.876778536998224E-02, -1.873751629570770E-03,  1.498166272878343E-02,  3.599639077391989E-04,
2464615.500000000, A.D. 2035-Oct-15 00:00:00.0000,  1.378317198686893E+00,  2.559863858436582E-01, -2.840628231215210E-02, -2.021922045677396E-03,  1.495497650894805E-02,  3.630349395967315E-04,
2464616.500000000, A.D. 2035-Oct-16 00:00:00.0000,  1.376221378166055E+00,  2.709273680681539E-01, -2.804173009522143E-02, -2.169642501712262E-03,  1.492672834634023E-02,  3.660621894642811E-04,
2464617.500000000, A.D. 2035-Oct-17 00:00:00.0000,  1.373978069801429E+00,  2.858393248006380E-01, -2.767417263114588E-02, -2.316894705235438E-03,  1.489692696901972E-02,  3.690453903466805E-04,
2464618.500000000, A.D. 2035-Oct-18 00:00:00.0000,  1.371587750894760E+00,  3.007207072825145E-01, -2.730365409104086E-02, -2.463660566736925E-03,  1.486558134408316E-02,  3.719842892797944E-04,
2464619.500000000, A.D. 2035-Oct-19 00:00:00.0000,  1.369050916740612E+00,  3.155699758334454E-01, -2.693021889551015E-02, -2.609922204116167E-03,  1.483270066715180E-02,  3.748786473161066E-04,
2464620.500000000, A.D. 2035-Oct-20 00:00:00.0000,  1.366368080428238E+00,  3.303856000853129E-01, -2.655391170525431E-02, -2.755661935012603E-03,  1.479829435895558E-02,  3.777282343041000E-04,
2464621.500000000, A.D. 2035-Oct-21 00:00:00.0000,  1.363539772639659E+00,  3.451660592110830E-01, -2.617477741146250E-02, -2.900862269341264E-03,  1.476237206662116E-02,  3.805328243003785E-04,
2464622.500000000, A.D. 2035-Oct-22 00:00:00.0000,  1.360566541444040E+00,  3.599098421501407E-01, -2.579286112592570E-02, -3.045505913554267E-03,  1.472494366233573E-02,  3.832921964563252E-04,
2464623.500000000, A.D. 2035-Oct-23 00:00:00.0000,  1.357448952089455E+00,  3.746154478300044E-01, -2.540820817132599E-02, -3.189575782511817E-03,  1.468601924056672E-02,  3.860061392923755E-04,
2464624.500000000, A.D. 2035-Oct-24 00:00:00.0000,  1.354187586792420E+00,  3.892813853828720E-01, -2.502086407189177E-02, -3.333055009797474E-03,  1.464560911690202E-02,  3.886744542672684E-04,
2464625.500000000, A.D. 2035-Oct-25 00:00:00.0000,  1.350783044524245E+00,  4.039061743560532E-01, -2.463087454397700E-02, -3.475926952633793E-03,  1.460372382269242E-02,  3.912969566483276E-04,
2464626.500000000, A.D. 2035-Oct-26 00:00:00.0000,  1.347235940793407E+00,  4.184883449169521E-01, -2.423828548615577E-02, -3.618175191793223E-03,  1.456037408952427E-02,  3.938734736549871E-04,
2464627.500000000, A.D. 2035-Oct-27 00:00:00.0000,  1.343546907425029E+00,  4.330264380536931E-01, -2.384314296920004E-02, -3.759783528206722E-03,  1.451557083333846E-02,  3.964038409933560E-04,
2464628.500000000, A.D. 2035-Oct-28 00:00:00.0000,  1.339716592338958E+00,  4.475190057713764E-01, -2.344549322661115E-02, -3.900735980914629E-03,  1.446932515290348E-02,  3.988879008274285E-04,
